Timestamp,response_to_survey,has_black_highschool_child,racial_background,residence_city,school_city,city_clean,grade,school_type,school_district,school_name,age,gender,background_match_family,background_match_friends,background_match_teachers,background_match_students,background_match_coaches,background_match_team_members,background_match_social_media,school_size,racism_discussion_family,racism_discussion_friends,racism_discussion_teachers,racism_discussion_students,racism_discussion_coaches,racism_discussion_team_members,racism_discussion_social_media,experienced_name_calling,witnessed_exclusion,witnessed_bullying,frequency_witnessed_racism,emotional_response_to_racism,peer_reaction_to_racism,peer_actions_during_racism,attention_check_response,experience_description,knows_other_students_targeted,support_satisfaction,support_feedback,school_response_effectiveness,resources_sufficiency,feel_safe,school_inclusiveness,comfort_discussing_race,dei_effectiveness,comfort_reporting,barriers_to_reporting,suggested_improvements,comfort_advocating_black_youth,final_comments,interest_in_training,interest_in_certification,willing_to_pay_training,is_black,is_indigenous,feel_safe_score,support_score,school_response_score,dei_score,resources_sufficiency_score,comfort_discussing_race_score,comfort_reporting_score,comfort_advocating_score,interest_training_score,interest_certification_score
2024-07-22 10:17:53.875,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Richmond ,Richmond ,,Grade 10,Public,School District 64 Gulf Islands,,15,Male,They all have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,More than 1000,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Often,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, I have seen it happening to others at my school.",Sometimes,I feel embarrassed or ashamed.,They oppose it / discourage it,"They join in or contribute to the behaviour., They personally intervene.",Neutral,,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",,No enough pro education ,Disagree,Agree,Safe,Very inclusive,Comfortable,Moderately effective,Comfortable,Fear,By taking it very serious with offender,Comfortable,No,3 - Moderately interested,2 - Slightly interested,70.0,True,False,4.0,,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0
2024-07-22 07:44:03.752,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Castlegar,Castlegar,,Grade 9,Public,School District 52 Prince Rupert,,14,Male,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,200 to 500,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,"Yes, I have seen it happening at my school.","Yes, I have seen it happening at my school.","No, I haven’t seen this happen at school or experienced this personally.",Rarely,I feel powerless or helpless.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They offer support to the victim.",Neutral,,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Very Satisfied,Inclusive,Strongly Agree,Strongly Agree,Very Safe,Extremely inclusive,Very Comfortable,Extremely effective,Very Comfortable,Fear of Retaliation,Cultural Sensitivity Training,Very Comfortable,,5 - Extremely interested,5 - Extremely interested,75.0,True,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-07-20 14:24:32.580,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),vancouver,langley,Langley,Grade 12,Public,School District 35 Langley,,17,Male,Most have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have the same background as mine,They all have the same background as mine,Most have the same background as mine,Most have the same background as mine,More than 1000,Sometimes,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,"Yes, I have seen it happening at my school.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Rarely,I feel powerless or helpless.,They ignore it / pretend it isn’t happening,They distance themselves from the situation.,Neutral,"One time in the school hallway, someone called me the N-word. I didn’t report it because I felt no one would listen to me.","No, I do not know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Effective tutoring.,Disagree,Agree,Safe,Very inclusive,Comfortable,Extremely effective,Comfortable,Worried about future opportunities.,Establish a campus anti-racism hotline.,Very Comfortable,"Sometimes at school, I don’t feel enough support and inclusion.",5 - Extremely interested,5 - Extremely interested,80.0,True,False,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
2024-07-22 07:45:43.653,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Campbell River,Campbell River,,Grade 11,Private,,School District 25,12,Male,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Less than 200,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","No, I haven’t seen this happen at school or experienced this personally.",Never,I feel anxious or scared.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They offer support to the victim., They personally intervene.",Neutral,,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Very Satisfied,Secure,Strongly Agree,Strongly Agree,Very Safe,Extremely inclusive,Very Comfortable,Extremely effective,Very Comfortable,Previous Negative Experiences,Peer Support Groups,Very Comfortable,,5 - Extremely interested,5 - Extremely interested,80.0,True,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-07-21 09:56:58.859,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Burnaby,Burnaby,Burnaby,Grade 9,Public,School District 5 Southeast Kootenay,,12,Female,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,200 to 500,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,"Yes, I have seen it happening at my school.","No, I haven't noticed this at my school.","No, I haven't noticed this happening at my school but I have experienced this personally.",Rarely,I feel anxious or scared.,They oppose it / discourage it,"They report the incident to a teacher or authority., They personally intervene.",Neutral,"A boy called a teacher monkey because he is black 
I didn't report 
Because it was a teacher","No, I do not know other Black students who have experienced anti-Black racism at their schools.",Neutral,I'm indifferent,Agree,Agree,Safe,Very inclusive,Neutral,Very effective,Uncomfortable,Fear of backlash,I don't know ,Neutral,,3 - Moderately interested,4 - Very interested,100.0,True,False,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0
2024-07-19 23:35:44.911,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Burnaby ,Burnaby ,Burnaby ,Grade 10,Public,School District 41 Burnaby,,16,Male,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,More than 1000,Sometimes,Rarely,Never,Rarely,Never,Never,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, and I have experienced this personally.",Often,I feel powerless or helpless.,They ignore it / pretend it isn’t happening,"They react impulsively, becoming physical or verbal., They distance themselves from the situation.",Neutral,There is zero to  none available . The school is very white and Asian . All teachers are white. Not a lot of black students at the school and the few of us stand out.it’s disappointing to see we are less noticed and appreciated. I think teachers need to be better educated on oppression and the impact they have ,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Very Dissatisfied,"
 ",Disagree,Strongly Disagree,Neutral,Not inclusive at all,Uncomfortable,Not effective at all,Uncomfortable,Don’t believe me. Nothing will be done to address anything . Feeling powerless ,Hire black teaches. Have an open space for people to speak without retaliation,Comfortable,Changes need to happen and not just lip service ,5 - Extremely interested,5 - Extremely interested,100.0,True,False,3.0,1.0,2.0,,1.0,2.0,2.0,4.0,5.0,5.0
2024-07-20 15:02:01.239,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),maple ridge,maple ridge,Maple ridge,Grade 10,Public,School District 42 Maple Ridge-Pitt Meadows,,15,Female,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,They all have the same background as mine,More than 1000,Sometimes,Often,Rarely,Often,Often,Often,Often,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Often,I feel embarrassed or ashamed.,They oppose it / discourage it,They try to mediate or resolve the conflict.,Neutral,"During a class discussion, someone said, ""Black people aren't smart."" I reported it because it was severe racial discrimination.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,Uneven resource distribution.,Disagree,Disagree,Unsafe,Slightly inclusive,Uncomfortable,Slightly effective,Neutral,Fear of retaliation,Implement diversity training for staff,Neutral,Being called racial slurs by classmates,3 - Moderately interested,4 - Very interested,100.0,True,False,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0
2024-07-20 13:53:26.346,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),prince george,prince george,Prince George,Grade 11,Public,School District 57 Prince George,,13,Male,They all have the same background as mine,They all have the same background as mine,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,They all have the same background as mine,Most have the same background as mine,501 to 1000,Sometimes,Sometimes,Often,Very Often,Often,Often,Sometimes,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Sometimes,I feel embarrassed or ashamed.,They support / encourage it,"They react impulsively, becoming physical or verbal.",Neutral,I was called racial slurs in the hallway and didn't report it because I was afraid it would make things worse.,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,ineffective implementation,Neutral,Disagree,Unsafe,Slightly inclusive,Uncomfortable,Slightly effective,Uncomfortable,Fear of being ignored.,Add more diversity courses.,Neutral,I was mocked at school for wearing different clothes.,3 - Moderately interested,3 - Moderately interested,100.0,True,False,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
2024-07-20 14:17:45.260,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Vancouver ,Vancouver ,,None of the above,Public,School District 39 Vancouver,,None of the above,Female,They all have the same background as mine,Most have the same background as mine,Most have different backgrounds,They all have different backgrounds from mine,They all have different backgrounds from mine,Most have different backgrounds,They all have different backgrounds from mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,
2024-07-19 21:53:19.660,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Surrey,Surrey,Surrey,Grade 12,Public,School District 36 Surrey,,17,Male,Most have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,501 to 1000,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Sometimes,I feel anxious or scared.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority.",Neutral,,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,They have posters,Agree,Agree,Safe,Very inclusive,Comfortable,Very effective,Comfortable,To be patient ,,Comfortable,No,3 - Moderately interested,3 - Moderately interested,100.0,True,False,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0
2024-07-20 15:03:06.783,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean), vancouver, vancouver,Vancouver,Grade 11,Public,School District 39 Vancouver,,16,Male,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Most have the same background as mine,Most have different backgrounds,I don't know,They all have the same background as mine,More than 1000,Sometimes,Often,Often,Rarely,Rarely,Often,Sometimes,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Sometimes,I feel anxious or scared.,They support / encourage it,"They react impulsively, becoming physical or verbal.",Neutral,"In the school library, someone told me ""Black people don't read."" I reported it because it was racial discrimination.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Effective after-school tutoring.,Agree,Agree,Safe,Slightly inclusive,Comfortable,Moderately effective,Very Comfortable,Fear of being ostracized by peers,Celebrate Black history and culture,Comfortable,Being the only Black student in advanced classes,3 - Moderately interested,4 - Very interested,100.0,True,False,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0
2024-07-20 15:03:15.920,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean), vancouver, vancouver,Vancouver,Grade 10,Public,School District 39 Vancouver,,15,Female,Most have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have the same background as mine,Most have the same background as mine,Most have different backgrounds,More than 1000,Often,Very Often,Very Often,Sometimes,Often,Rarely,Rarely,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Often,I feel embarrassed or ashamed.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority.",Neutral,"Once in geography class, the teacher was always biased when talking about Africa. I reported it because it was misleading.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,Teacher biases evident.,Disagree,Disagree,Very Unsafe,Slightly inclusive,Uncomfortable,Slightly effective,Neutral,Lack of trust in school authorities,Create a safe space for open discussions,Neutral,Peers making jokes about Black culture,5 - Extremely interested,5 - Extremely interested,100.0,True,False,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0
2024-07-20 22:12:08.102,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Vancouver,Vancouver,Vancouver,Grade 10,Public,School District 45 West Vancouver,,12,Male,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,200 to 500,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Yes, I have seen it happening at my school.","Yes, I have experienced this personally.","Yes, I have seen it happening to others at my school.",Sometimes,I feel anxious or scared.,They oppose it / discourage it,"They react impulsively, becoming physical or verbal., They try to mediate or resolve the conflict., They join in or contribute to the behaviour., They report the incident to a teacher or authority., They distance themselves from the situation., They offer support to the victim., They personally intervene., They gather others to intervene collectively.",Neutral,I was called names I didn't like,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Neutral,Tight security,Neutral,Neutral,Neutral,Very inclusive,Neutral,Moderately effective,Neutral,,Diverse equality,Neutral,No,4 - Very interested,4 - Very interested,100.0,True,False,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
2024-07-20 22:00:00.325,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Vancouver,Vancouver,Vancouver,Grade 10,Public,School District 84 Vancouver Island West,,12,Male,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,200 to 500,Very Often,Never,Never,Never,Never,Never,Never,"Yes, I have seen it happening at my school.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Sometimes,I feel outraged or furious.,They oppose it / discourage it,"They react impulsively, becoming physical or verbal., They try to mediate or resolve the conflict., They join in or contribute to the behaviour., They report the incident to a teacher or authority., They distance themselves from the situation., They offer support to the victim., They personally intervene., They gather others to intervene collectively.",Neutral,The boy was bullied and called names I didn't report the boy did,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Neutral,The outcome of discipline,Neutral,Neutral,Neutral,Very inclusive,Neutral,Moderately effective,Neutral,No reasons I will report,Alot for real,Neutral,,5 - Extremely interested,4 - Very interested,100.0,True,False,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0
2024-07-20 13:20:26.547,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 2 children",Black (Your ancestors are African/Caribbean),Victoria ,Victoria ,Victoria,Grade 10,Public,School District 61 Greater Victoria,,16,Male,Most have the same background as mine,Most have different backgrounds,They all have different backgrounds from mine,Most have different backgrounds,Most have different backgrounds,They all have different backgrounds from mine,Most have the same background as mine,501 to 1000,Sometimes,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,"Yes, I have seen it happening at my school.","Yes, I have seen it happening at my school.","No, I haven't noticed this happening at my school but I have experienced this personally.",Sometimes,I feel embarrassed or ashamed.,They support / encourage it,"They try to mediate or resolve the conflict., They distance themselves from the situation.",Neutral,,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Lectures and seminar ,Agree,Neutral,Neutral,Moderately inclusive,Comfortable,Very effective,Comfortable,Webinar and seminar ,Make laws,Comfortable,,4 - Very interested,2 - Slightly interested,100.0,True,False,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0
2024-07-20 14:22:41.101,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),vancouver,walnutgrove,Walnut Grove,Grade 12,Public,School District 43 Coquitlam,,15,Male,Most have the same background as mine,Most have the same background as mine,Most have different backgrounds,Most have the same background as mine,They all have the same background as mine,Most have the same background as mine,They all have the same background as mine,More than 1000,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Very Often,"Yes, I have seen it happening at my school.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Rarely,I feel powerless or helpless.,They ignore it / pretend it isn’t happening,They distance themselves from the situation.,Neutral,"On the basketball team, someone said I could only play basketball because I'm Black. I didn't report it because I didn't want to cause trouble.","No, I do not know other Black students who have experienced anti-Black racism at their schools.",Neutral,Anti-racism policies exist.,Neutral,Agree,Neutral,Very inclusive,Neutral,Very effective,Neutral,Unaware of school resources.,Strengthen student rights protection.,Very Comfortable,I’ve been deemed unsuitable for leadership roles just because of my skin color.,5 - Extremely interested,4 - Very interested,100.0,True,False,3.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0
2024-07-21 16:47:10.384,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Canada ,Canda,,Grade 9,Private,,aK-12 Christian school,13,Male,They all have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,Most have the same background as mine,200 to 500,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,"Yes, I have experienced this personally.","Yes, I have seen it happening at my school.","Yes, I have seen it happening to others at my school.",Sometimes,I feel embarrassed or ashamed.,They oppose it / discourage it,They offer support to the victim.,Neutral,It's was a bad experience,"Yes, I know other Black students who have experienced anti-Black racism at their schools.",Very Satisfied,It's reliable and sustainable ,Strongly Agree,Strongly Agree,Very Safe,Extremely inclusive,Very Comfortable,Extremely effective,Very Comfortable,If its not that serious,A more reliable and sustainable provisions for the black people,Very Comfortable,A more reliable and sustainable development for the black people,5 - Extremely interested,5 - Extremely interested,100.0,True,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-07-22 07:43:16.808,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),Vancouver ,Vancouver ,,Grade 10,Public,School District 75 Mission,,13,Female,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Less than 200,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,"No, I haven't noticed this at my school.","Yes, I have seen it happening at my school.","No, I haven’t seen this happen at school or experienced this personally.",Never,I feel anxious or scared.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They join in or contribute to the behaviour., They report the incident to a teacher or authority., They offer support to the victim.",Neutral,,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Very Satisfied,Diverse,Strongly Agree,Strongly Agree,Very Safe,Extremely inclusive,Very Comfortable,Extremely effective,Very Comfortable,Language Barriers,Counseling Services,Very Comfortable,,5 - Extremely interested,5 - Extremely interested,100.0,True,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-07-20 14:24:41.542,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),duncan,duncan,Duncan,Grade 10,Public,School District 37 Delta,,15,Male,Most have the same background as mine,They all have the same background as mine,They all have the same background as mine,Most have the same background as mine,They all have the same background as mine,Most have the same background as mine,Most have the same background as mine,More than 1000,Sometimes,Rarely,Rarely,Often,Sometimes,Often,Often,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Sometimes,I feel anxious or scared.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They gather others to intervene collectively.",Neutral,"During a sports competition, someone said, ""Black people are supposed to be strong, why are you so weak?"" I reported it because it was a stereotype.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Very Dissatisfied,Inadequate support system.,Disagree,Disagree,Unsafe,Moderately inclusive,Neutral,Moderately effective,Uncomfortable,Worried about being misunderstood.,Strengthen community partnership projects.,Comfortable,"Sometimes, school events are arranged in a way that feels disrespectful to me.",2 - Slightly interested,2 - Slightly interested,150.0,True,False,2.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0
2024-07-20 15:02:26.033,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),port coquitlam,port coquitlam,Port Coquitlam,Grade 11,Public,School District 47 Powell River,,16,Male,They all have the same background as mine,They all have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have the same background as mine,More than 1000,Often,Often,Often,Very Often,Very Often,Often,Sometimes,"Yes, I have seen it happening at my school.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Sometimes,I feel anxious or scared.,They oppose it / discourage it,They try to mediate or resolve the conflict.,Neutral,"In art class, my work was always undervalued. I reported it because it was the teacher's bias.","No, I do not know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Diverse activities.,Agree,Agree,Very Safe,Very inclusive,Comfortable,Moderately effective,Comfortable,Belief that it's just part of life,Encourage reporting of discriminatory incidents,Comfortable,Being followed around in stores by security,3 - Moderately interested,3 - Moderately interested,150.0,True,False,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
2024-07-20 14:25:07.359,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),vancouver,richmond,Richmond,Grade 11,Public,School District 38 Richmond,,16,Female,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,They all have the same background as mine,Most have the same background as mine,Most have different backgrounds,Most have the same background as mine,More than 1000,Rarely,Sometimes,Often,Often,Sometimes,Often,Sometimes,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Often,I feel embarrassed or ashamed.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority.",Neutral,"In music class, someone said, ""Black people don't understand music."" I reported it because it was racial discrimination.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Satisfied,Abundant resources.,Agree,Agree,Safe,Moderately inclusive,Comfortable,Slightly effective,Comfortable,Fear it will affect my studies.,Regularly assess inclusivity.,Neutral,I’ve had people make negative comments about my family background.,4 - Very interested,5 - Extremely interested,150.0,True,False,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0
2024-07-20 15:42:46.195,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),vancouver,vancouver,Vancouver,Grade 11,Public,School District 39 Vancouver,,16,Male,I don't know,They all have the same background as mine,I don't know,I don't know,They all have the same background as mine,They all have the same background as mine,Most have the same background as mine,More than 1000,Often,Very Often,Very Often,Often,Often,Often,Sometimes,"Yes, I have experienced this personally.","Yes, I have experienced this personally.","Yes, and I have experienced this personally.",Often,I feel outraged or furious.,They oppose it / discourage it,"They react impulsively, becoming physical or verbal., They offer support to the victim.",Neutral,"Someone once asked if I was from Africa, and such ignorant questions made me feel awkward,I reported it because I wanted the school to educate students on the right attitudes to reduce future racial discrimination.","Yes, I know other Black students who have experienced anti-Black racism at their schools.",Dissatisfied,Support system is slow to respond.,Disagree,Disagree,Unsafe,Slightly inclusive,Very Uncomfortable,Slightly effective,Uncomfortable,Displeased with school.,Establish feedback systems.,Uncomfortable,I often feel excluded from academic activities.,3 - Moderately interested,4 - Very interested,150.0,True,False,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0
2024-07-22 07:42:41.740,"Yes, I confirm that I am the parent/guardian of the child, I am over the age of 18, and I give permission for my child to participate.","Yes, I have 1 child",Black (Your ancestors are African/Caribbean),"Langley, City of","Langley, City of",,Grade 12,Private,,School District 52,15,Female,Most have the same background as mine,Most have the same background as mine,They all have the same background as mine,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Most have different backgrounds,Less than 200,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,"No, I haven't noticed this at my school.","Yes, I have seen it happening at my school.","No, I haven’t seen this happen at school or experienced this personally.",Never,I feel outraged or furious.,They oppose it / discourage it,"They try to mediate or resolve the conflict., They report the incident to a teacher or authority., They offer support to the victim., They gather others to intervene collectively.",Neutral,,"No, I do not know other Black students who have experienced anti-Black racism at their schools.",Very Satisfied,Respectful,Strongly Agree,Strongly Agree,Very Safe,Very inclusive,Very Comfortable,Extremely effective,Very Comfortable,Stigma,Mentorship Programs,Very Comfortable,,5 - Extremely interested,5 - Extremely interested,150.0,True,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
